Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,210001,Sandwiches,Sharon's Special,4.99,,,,,5.49,5.49
,210002,Sandwiches,The Copenhagen,6.25,,,,,6.88,6.88
,210003,Sandwiches,The Amsterdam,6.25,,,,,6.88,6.88
,210004,Sandwiches,The Stockholm,4.99,,,,,5.49,5.49
,210005,Sandwiches,The Reuben,4.99,,,,,5.49,5.49
,210006,Sandwiches,The Berlin,6.25,,,,,6.88,6.88
,210007,Sandwiches,The Vienna,5.65,,,,,6.22,6.22
,210008,Sandwiches,The Bavarian,6.99,,,,,7.69,7.69
,210009,Sandwiches,The Transylvania,5.65,,,,,6.22,6.22
,210010,Sandwiches,The Dutch Cheese,5.99,,,,,6.59,6.59
,210011,Sandwiches,The Wienerschnitzel Sandwich,7.45,,,,,8.2,8.2
,210012,Sandwiches,Netherlander,5.45,,,,,6,6
,210013,Sandwiches,Omelette Sandwich,6.25,,,,,6.86,6.86
,210014,Create Your Own Sandwiches,Meat & Cheese Sandwich,4.75,,,,,5.23,5.23
,210015,Create Your Own Sandwiches,Cheese Sandwich,4.75,,,,,5.23,5.23
,210016,Create Your Own Sandwiches,Meat Sandwich,3.99,,,,,4.39,4.39
,210017,Soup of the Day,Potato Gouda (Tuesday),4.25,,,,,4.9,4.9
,210018,Soup of the Day,Cream of Asparagus (Wednesday),4.25,,,,,4.9,4.9
,210019,Soup of the Day,Roasted Garlic Lentil (Thursday),4.25,,,,,4.9,4.9
,210020,Soup of the Day,Norwegian Cauliflower Meatball (Friday),4.25,,,,,4.9,4.9
,210021,Soup of the Day,Dutch Pea Soup (Saturday),4.25,,,,,4.9,4.9
,210022,Soup of the Day,Dutch Tomato Meatball (Monday),4.25,,,,,4.9,4.9
,210023,Dessert,Marzipan Cake (Piece),4.95,,,,,5.82,5.82
,210024,Dessert,Boter Koek (Butter Cake) - Piece,3.85,,,,,4.52,4.52
,210025,Dessert,Boter Koek (Butter Cake) - Whole,9.99,,,,,11.74,11.74
,210026,Dessert,Millionaire Shortbread,2.99,,,,,3,3
,210027,Dessert,Dutch Chocolate Chunk Cookie,1.99,,,,,2,2
,210028,Marzipan Cake (48 hrs required),1/8 Sheet (8-10 people),35.99,,,,,42.29,42.29
,210029,Marzipan Cake (48 hrs required),1/4 Sheet (16-20 people),45.99,,,,,54.04,54.04
,210030,Box Lunch Combo,The Wiener Schnitzel Sandwich,9.99,,,,,10.99,10.99
,210031,Box Lunch Combo,Sharon's Special,9.99,,,,,10.99,10.99
,210032,Box Lunch Combo,The Copenhagen,9.99,,,,,10.99,10.99
,210033,Box Lunch Combo,The Amsterdam,9.99,,,,,10.99,10.99
,210034,Box Lunch Combo,The Stockholm,9.99,,,,,10.99,10.99
,210035,Box Lunch Combo,The Reuben,9.99,,,,,10.99,10.99
